OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B17020_001E,B17020_001M,B17020_002E,B17020_002M,B17020_003E,B17020_003M,B17020_004E,B17020_004M,B17020_005E,B17020_005M,B17020_006E,B17020_006M,B17020_007E,B17020_007M,B17020_008E,B17020_008M,B17020_009E,B17020_009M,B17020_010E,B17020_010M,B17020_011E,B17020_011M,B17020_012E,B17020_012M,B17020_013E,B17020_013M,B17020_014E,B17020_014M,B17020_015E,B17020_015M,B17020_016E,B17020_016M,B17020_017E,B17020_017M,B17020_calc_pctPovE,B17020_calc_pctPovM,B17020_calc_numChildPovE,B17020_calc_numChildPovM,B17020_calc_pctChildPovE,B17020_calc_pctChildPovM,B17020_calc_numTotChildE,B17020_calc_numTotChildM,Shape__Area,Shape__Length
1,11001000100,1907610,512798,Census Tract 1,District of Columbia,District of Columbia,5147,481,290,227,9,22,4,11,33,49,206,185,38,43,0,17,0,17,4857,460,348,211,465,214,30,38,2752,289,973,216,160,90,129,70,5.6,4.37879161438926,46,55,5.2,5.92130490940335,889,308,3157969.92578125,16275.5930843861
2,11001000201,503312,0,Census Tract 2.01,District of Columbia,District of Columbia,25,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,25,58,0,12,0,12,0,12,25,58,0,12,0,12,0,12,0,48,0,21,,,0,29,832414.1953125,4265.95624132817
3,11001000202,776437,428754,Census Tract 2.02,District of Columbia,District of Columbia,3564,462,599,286,0,12,0,12,0,12,542,282,42,38,15,23,0,12,2965,318,158,98,117,80,70,61,1567,285,784,149,236,105,33,34,16.8,7.72327817130253,0,21,0,6.08695652173913,345,142,1284189.109375,13196.7554343063
4,11001000300,1010802,2334,Census Tract 3,District of Columbia,District of Columbia,6334,530,1100,440,18,28,0,17,17,28,1065,433,0,17,0,17,0,17,5234,491,461,134,347,202,109,87,3585,372,567,167,165,82,0,17,17.4,6.79294516799255,35,43,3.7,4.4029081350974,952,261,1675991.328125,5244.31420587205
5,11001000400,1542759,69,Census Tract 4,District of Columbia,District of Columbia,1424,131,131,48,0,12,9,13,6,10,110,40,0,12,6,10,0,12,1293,127,81,33,90,31,76,39,653,94,273,83,91,50,29,19,9.2,3.26281837561395,15,20,5.7,7.50842511022034,262,63,2552695.03515625,7468.46769728117
6,11001000501,940586,30822,Census Tract 5.01,District of Columbia,District of Columbia,3523,290,166,100,16,28,0,12,0,12,109,74,41,44,0,12,0,12,3357,311,71,69,150,100,197,60,2283,228,440,111,176,150,40,62,4.7,2.81186515373122,16,33,3.7,7.51145104377376,434,139,1561991.2578125,8755.0281144194
7,11001000502,581506,0,Census Tract 5.02,District of Columbia,District of Columbia,3371,263,114,48,0,12,0,12,0,12,94,42,9,15,0,12,11,17,3257,272,151,60,161,61,136,69,2043,221,572,91,170,62,24,27,3.4,1.39925224305173,0,21,0,4.6875,448,112,962251.21875,5195.04782210289
8,11001000600,1442822,71,Census Tract 6,District of Columbia,District of Columbia,4756,326,252,164,0,12,20,40,19,40,100,76,101,92,12,21,0,12,4504,351,305,114,377,170,58,53,2551,308,844,197,250,83,119,88,5.3,3.42909595966215,39,58,5,7.31120349378308,779,219,2388176.9375,6692.09665062309
9,11001000701,548936,0,Census Tract 7.01,District of Columbia,District of Columbia,5873,433,776,339,43,51,22,40,0,17,570,314,101,93,40,63,0,17,5097,473,201,141,154,75,102,76,2740,373,1306,244,521,150,73,51,13.2,5.68938057938222,65,67,12.5,12.017356237742,522,189,908390.375,4113.24492686374
10,11001000702,293835,0,Census Tract 7.02,District of Columbia,District of Columbia,3355,380,422,188,0,12,0,12,0,12,422,188,0,12,0,12,0,12,2933,331,111,57,44,49,34,42,2338,349,166,111,192,88,48,50,12.6,5.41944816942637,0,21,0,11.1111111111111,189,89,486171.3828125,3519.88108120932
